# The races the enemy status panel shows, as 表示種族 decides them.
# Generated by scripts/extract_race_names.js -- edit glossaries/race_name_glossary.tsv
# to change the English, not this file.
#
# Columns: the number ▲種族 holds <TAB> the Japanese, JSON-quoted <TAB> its string slot.
# The slot is here to be read, not used: translating it is what the .jaf exists
# to avoid, since six of these words are also something else somewhere.
1	"ハニー　"	11295
2	"植物　　"	11296
3	"霊体　　"	11297
4	"ムシ　　"	11298
5	"亜人　　"	11300
6	"天使悪魔"	11302
9	"古代種　"	11299
10	"生成物　"	11308
11	"魔法生物"	11309
12	"モンスター"	4018
13	"女の子モンスター"	7658
14	"魔物兵"	6368
15	"人類"	2519
16	"機械"	11306
17	"サイバー"	11307
18	"魔人"	11304
19	"使徒"	11305
20	"魔王"	11303
21	"宇宙人　"	11301
