# The English for the synopsis lines -- the rows あらすじモード prints when you
# pick an event you have already seen. Hand-written; this is the file to edit.
#
# Columns: the Japanese <TAB> the English.
#
# The Japanese column is filled in by scripts/extract_summary_lines.js, which
# reads archives/Rance10EX_v1_04/37_あらすじデータ.x and keeps whatever English is
# already here. A line left blank stays Japanese in game.
#
# Keyed by the Japanese rather than by event, because the same phrase serves
# many events -- 戦闘開始 opens 85 of them -- and should be translated once.
# The order is the order the game's own table has, which is the order the
# story happens in: a line reads differently once you have read the one above.
#
# One row fits about twenty full-width characters (１２３４５６７８９０１２３４５６７８９０),
# which is both the placeholder in Game/Adv/SceneSummary.pactex and the ruler
# the designers left in field ００ of the table. Nothing wraps, so a longer
# line runs off the panel; the scripts below report which ones do.
#
# Translating a chunk at a time: scripts/summary_chunk.js prints the next
# untranslated rows as a prompt, scripts/summary_merge.js reads the reply back
# in. Nothing applies this file to the game yet -- the English still has to be
# written into 37_あらすじデータ.x, which is what npm run regenerate-ex builds.
にぽぽ温泉旅館	Nipopo Hot Spring Inn
兄弟姉妹全員で来た	All the siblings came along
兄弟で部屋でくつろぐ	The brothers relax in their room
男湯での一時	A moment in the men's bath
※イベントＣＧ	※Event CG
※主人公＝男	※Protagonist = male
男部屋での一時	A moment in the men's room
女湯での一時	A moment in the women's bath
※主人公＝女	※Protagonist = female
女部屋での一時	A moment in the women's room
宿泊の夜	The night at the inn
長田君と過ごす	Time spent with Nagata-kun
※大親友＝長田君	※Best friend = Nagata-kun
志津香と過ごす	Time spent with Shizuka
※大親友＝志津香	※Best friend = Shizuka
リセットと過ごす	Time spent with Reset
※大親友＝リセット	※Best friend = Reset
ザンスと過ごす	Time spent with Zance
※大親友＝ザンス	※Best friend = Zance
ウズメと過ごす	Time spent with Uzume
※大親友＝ウズメ	※Best friend = Uzume
乱義と過ごす	Time spent with Rangi
※大親友＝乱義	※Best friend = Rangi
深根と過ごす	Time spent with Tone
※大親友＝深根	※Best friend = Tone
ミックスと過ごす	Time spent with Mix
※大親友＝ミックス	※Best friend = Mix
スシヌと過ごす	Time spent with Sushinu the Gandhi
※大親友＝スシヌ	※Best friend = Sushinu the Gandhi
元就と過ごす	Time spent with Motonari
※大親友＝元就	※Best friend = Motonari
レリコフと過ごす	Time spent with Lelikov Helman
※大親友＝レリコフ	※Best friend = Lelikov Helman
ダークランスと過ごす	Time spent with Dark Rance
※大親友＝ダークランス	※Best friend = Dark Rance
松下姫と過ごす	Time spent with Princess Panasonic
※大親友＝松下姫	※Best friend = Princess Panasonic
ドッス、ワッスと過ごす	Time spent with Doss and Wass
※大親友＝ドッスワッス	※Best friend = Doss & Wass
長田君	Nagata-kun
友情イベント　Ａ	Friendship event A
友情イベント　Ｂ	Friendship event B
友情イベント　Ｃ	Friendship event C
友情イベント　Ｄ	Friendship event D
友情イベント　Ｅ	Friendship event E
ドッス　ワッス	Doss & Wass
松下姫	Princess Panasonic
志津香　ナギ	Shizuka & Nagi
リセット	Reset
ウズメ	Uzume
ザンス	Zance
深根	Tone
乱義	Rangi
ミックス	Mix
スシヌ	Sushinu the Gandhi
元就	Motonari
レリコフ	Lelikov Helman
ダークランス	Dark Rance
シィル	Sill
　裸イベント	Nude event
ランス	Rance
リーザス地方	The Leazas region
リーザス軍と魔軍の大決戦	Leazas army vs the Monster Army
リアも前線に出て士気向上	Lia joins the front, morale rises
バレスの大包囲作戦	Barres' grand encirclement plan
本物のリック、エクスの部隊が参戦	The real Rick and Ex's units join in
バレスの作戦は成功した	Barres' plan succeeded
混乱した魔軍を包囲	Encircling the confused Monster Army
魔軍は反撃戦を開始する	The Monster Army counterattacks
その隙に逃げようとする大将軍ヨシフ	Great General Joseph tries to flee
しかし、これをリックが仕留める	but Rick brings him down
リーザス城	Leazas Castle
リーザスを魔軍から解放した	Leazas freed from the Monster Army
その頃、リーザス城	Meanwhile, at Leazas Castle
女王リアを狙って使徒アトランタ侵入	Apostle Atlanta breaks in after Lia
親衛隊の活躍で撃退	The royal guard drives her off
その頃、リーザス　ニクラス砦	Meanwhile, Fort Niklas in Leazas
魔軍の総攻撃から要所を守り抜くが	The fort holds against the Monster Army
コルドバ将軍討ち死に	General Cordoba falls in battle
リーザス王国が滅亡した	The Kingdom of Leazas has fallen
魔軍により人口削減計画が始まる	The Monster Army starts culling humans
